 ------------------------------- ---------- -------- ------ ---------------------------------------------- 
  Name                            Method     Scheme   Host   Path                                          
 ------------------------------- ---------- -------- ------ ---------------------------------------------- 
  _root                           ANY        ANY      ANY    /                                             
  app_home                        ANY        ANY      ANY    /{_locale}/                                   
  app_loan_apply                  ANY        ANY      ANY    /{_locale}/apply                              
  app_loan_status                 ANY        ANY      ANY    /{_locale}/status/{id}                        
  app_loan_calculator             ANY        ANY      ANY    /{_locale}/calculator                         
  app_about                       ANY        ANY      ANY    /{_locale}/about                              
  app_contact                     ANY        ANY      ANY    /{_locale}/contact                            
  admin_config_index              ANY        ANY      ANY    /admin/admin/config                           
  admin_config_new                ANY        ANY      ANY    /admin/admin/config/new                       
  admin_config_edit               ANY        ANY      ANY    /admin/admin/config/{id}/edit                 
  admin_config_delete             POST       ANY      ANY    /admin/admin/config/{id}/delete               
  admin_config_init_default       ANY        ANY      ANY    /admin/admin/config/init-default              
  admin_dashboard                 ANY        ANY      ANY    /admin/                                       
  admin_loan_index                ANY        ANY      ANY    /admin/admin/loans                            
  admin_loan_show                 ANY        ANY      ANY    /admin/admin/loans/{id}                       
  admin_loan_edit                 ANY        ANY      ANY    /admin/admin/loans/{id}/edit                  
  admin_loan_approve              ANY        ANY      ANY    /admin/admin/loans/{id}/approve               
  admin_loan_reject               ANY        ANY      ANY    /admin/admin/loans/{id}/reject                
  admin_loan_delete               POST       ANY      ANY    /admin/admin/loans/{id}/delete                
  admin_language_index            GET        ANY      ANY    /admin/languages/                             
  admin_language_new              GET|POST   ANY      ANY    /admin/languages/new                          
  admin_language_show             GET        ANY      ANY    /admin/languages/{id}                         
  admin_language_edit             GET|POST   ANY      ANY    /admin/languages/{id}/edit                    
  admin_language_delete           POST       ANY      ANY    /admin/languages/{id}                         
  admin_language_toggle_status    POST       ANY      ANY    /admin/languages/{id}/toggle-status           
  admin_language_set_default      POST       ANY      ANY    /admin/languages/{id}/set-default             
  admin_language_switch           GET|POST   ANY      ANY    /admin/language/switch/{locale}               
  admin_language_current          ANY        ANY      ANY    /admin/language/current                       
  admin_language_available        ANY        ANY      ANY    /admin/language/available                     
  admin_service_index             GET        ANY      ANY    /admin/services/                              
  admin_service_new               GET|POST   ANY      ANY    /admin/services/new                           
  admin_service_show              GET        ANY      ANY    /admin/services/{id}                          
  admin_service_edit              GET|POST   ANY      ANY    /admin/services/{id}/edit                     
  admin_service_delete            POST       ANY      ANY    /admin/services/{id}                          
  admin_service_toggle_status     POST       ANY      ANY    /admin/services/{id}/toggle-status            
  admin_service_duplicate         POST       ANY      ANY    /admin/services/{id}/duplicate                
  admin_service_preview           GET        ANY      ANY    /admin/services/{id}/preview/{languageCode}   
  admin_translation_index         ANY        ANY      ANY    /admin/translations/                          
  admin_translation_edit          ANY        ANY      ANY    /admin/translations/edit/{domain}/{locale}    
  admin_translation_update        POST       ANY      ANY    /admin/translations/update/{domain}/{locale}  
  admin_translation_synchronize   POST       ANY      ANY    /admin/translations/synchronize/{domain}      
  admin_translation_stats         ANY        ANY      ANY    /admin/translations/stats/{domain}            
  admin_translation_export        ANY        ANY      ANY    /admin/translations/export/{domain}/{locale}  
 ------------------------------- ---------- -------- ------ ---------------------------------------------- 

